饰品名称,饰品价格,当前在售数量
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (破损不堪),$4.27 USD,67
法玛斯 | 灯神 (略有磨损),$2.85 USD,199
法玛斯 | 灯神 (崭新出厂),$7.47 USD,34
MAG-7（StatTrak™） | 炽热 (战痕累累),$0.70 USD,163
截短霰弹枪（StatTrak™） | 千纸鹤 (战痕累累),$0.20 USD,99
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (久经沙场),$7.18 USD,136
MAC-10 | 霓虹骑士 (破损不堪),$5.94 USD,60
MP9 | 飞驰 (崭新出厂),$0.77 USD,132
G3SG1（StatTrak™） | 黑暗豹纹 (略有磨损),$0.96 USD,88
MAG-7 | 灼烧之痕 (略有磨损),$0.38 USD,127
P250 | 卡特尔 (略有磨损),$4.72 USD,64
FN57（StatTrak™） | 都市危机 (略有磨损),$1.28 USD,371
格洛克 18 型 | 粉碎者 (略有磨损),$1.16 USD,256
FN57 | 都市危机 (久经沙场),$0.41 USD,196
截短霰弹枪 | 路霸 (破损不堪),$0.46 USD,94
截短霰弹枪（StatTrak™） | 路霸 (略有磨损),$3.34 USD,27
截短霰弹枪 | 路霸 (久经沙场),$0.40 USD,113
MP9（StatTrak™） | 飞驰 (略有磨损),$1.44 USD,94
M4A1 消音型 | 翼蜥 (崭新出厂),$4.08 USD,234
MP9 | 飞驰 (战痕累累),$0.93 USD,22
截短霰弹枪（StatTrak™） | 路霸 (久经沙场),$1.47 USD,51
FN57（StatTrak™） | 都市危机 (崭新出厂),$2.13 USD,309
M4A4 | 狮鹫 (崭新出厂),$8.17 USD,188
MAG-7 | 灼烧之痕 (破损不堪),$0.46 USD,100
MAG-7（StatTrak™） | 灼烧之痕 (破损不堪),$1.19 USD,48
P250 | 卡特尔 (久经沙场),$3.46 USD,100
格洛克 18 型（StatTrak™） | 粉碎者 (崭新出厂),$6.90 USD,118
UMP-45 | 迷幻 (崭新出厂),$1.52 USD,51
SCAR-20（StatTrak™） | 心脏打击 (略有磨损),$20.51 USD,12
