饰品名称,Buff当前价格,Buff当前在售数量
内格夫 | 动力装载机 (略有磨损),10.4,585
M249 | 海滨预测者 (久经沙场),39.78,25
内格夫（StatTrak™） | *哒哒哒* (崭新出厂),106.54,15
内格夫（纪念品） | 舱壁 (崭新出厂),41.34,100
内格夫（StatTrak™） | 动力装载机 (久经沙场),17.38,181
内格夫（StatTrak™） | 橙灰之名 (崭新出厂),26.54,74
内格夫（StatTrak™） | 橙灰之名 (略有磨损),13.6,62
内格夫（纪念品） | 舱壁 (略有磨损),19.7,88
M249（StatTrak™） | O.S.I.P.R. (崭新出厂),14.04,78
内格夫 | 凤凰徽记 (略有磨损),65,188
内格夫 | 凤凰徽记 (崭新出厂),68.2,572
内格夫 | 凤凰徽记 (战痕累累),64.59,38
内格夫（StatTrak™） | 动力装载机 (略有磨损),39.76,141
内格夫 | 动力装载机 (崭新出厂),25.98,353
M249（StatTrak™） | 星云十字军 (破损不堪),10.85,22
M249 | 狂野丛林 (崭新出厂),16.69,43
内格夫（StatTrak™） | *哒哒哒* (略有磨损),17.9,51
内格夫 | 加州迷彩 (崭新出厂),24.68,11
M249 | 暴雪大理石纹 (久经沙场),16.36,30
内格夫（纪念品） | 加州迷彩 (崭新出厂),13.8,109
M249（StatTrak™） | 翠绿箭毒蛙 (崭新出厂),15.9,54
内格夫（StatTrak™） | 狮子鱼 (崭新出厂),13.29,202
内格夫 | 凤凰徽记 (久经沙场),64.8,140
内格夫（StatTrak™） | 动力装载机 (崭新出厂),112.5,118
M249（纪念品） | 对比涂装 (崭新出厂),13.66,33
M249 | 星云十字军 (崭新出厂),20.1,118
M249（StatTrak™） | 星云十字军 (略有磨损),25.39,65
M249 | 海滨预测者 (略有磨损),40.9,14
内格夫 | *哒哒哒* (崭新出厂),19.9,33
内格夫（纪念品） | 核子废渣 (崭新出厂),13.36,376
M249（StatTrak™） | 星云十字军 (久经沙场),11.25,51
M249（StatTrak™） | 阿兹特克 (崭新出厂),16.8,27
内格夫 | 凤凰徽记 (破损不堪),65.94,33
M249（StatTrak™） | 星云十字军 (崭新出厂),59.08,56
内格夫 | 大嘴巴 (略有磨损),25.7,32
M249 | 海滨预测者 (崭新出厂),45.29,65
内格夫（StatTrak™） | 动力装载机 (破损不堪),10.7,40
M249 | 暴雪大理石纹 (略有磨损),64.9,6
内格夫 | 加州迷彩 (久经沙场),18.63,8
内格夫 | 加州迷彩 (略有磨损),20.95,8
M249（StatTrak™） | 战隼 (崭新出厂),11.29,10
内格夫（纪念品） | 核子废渣 (破损不堪),14.57,13
内格夫 | 棕榈色 (战痕累累),12.27,1
M249 | 对比涂装 (崭新出厂),12.16,6
M249 | 丛林 DDPAT (崭新出厂),179.5,2
M249 | 海滨预测者 (战痕累累),54.9,1
内格夫（纪念品） | 舱壁 (破损不堪),12.9,17
内格夫（StatTrak™） | 大嘴巴 (略有磨损),74.8,17
内格夫 | 棕榈色 (略有磨损),23.73,5
M249 | 丛林 DDPAT (略有磨损),9.09,6
M249 | 海滨预测者 (破损不堪),42.9,1
M249 | 暴雪大理石纹 (战痕累累),21.85,3
内格夫 | 棕榈色 (崭新出厂),88.82,6
内格夫（纪念品） | 舱壁 (战痕累累),14.88,4
