饰品名称,Buff当前价格,Buff当前在售数量
USP 消音版 | 脑洞大开 (破损不堪),11.5,635
格洛克 18 型（StatTrak™） | 城里的月光 (崭新出厂),16.9,817
P250 | 生化短吻鳄 (久经沙场),14.3,1547
沙漠之鹰 | 大佬龙 (久经沙场),45.8,1263
双持贝瑞塔 | 双涡轮 (久经沙场),24.7,144
沙漠之鹰 | 后发制人 (久经沙场),13.7,962
USP 消音版（StatTrak™） | 脑洞大开 (略有磨损),61.7,627
沙漠之鹰 | 深红之网 (久经沙场),23.8,1151
Tec-9 | 穆拉诺之橙 (略有磨损),18.9,89
USP 消音版 | 脑洞大开 (略有磨损),22.3,3425
USP 消音版 | 脑洞大开 (久经沙场),12.9,5123
R8 左轮手枪 | 美洲驼炮 (久经沙场),9.96,377
沙漠之鹰 | 午夜风暴 (久经沙场),57.89,137
格洛克 18 型 | 水灵 (略有磨损),25.2,2073
USP 消音版（StatTrak™） | 蓝图 (略有磨损),116,425
沙漠之鹰 | 午夜凶匪 (崭新出厂),75.9,911
格洛克 18 型 | 黑色魅影 (久经沙场),41.9,1405
沙漠之鹰 | 红色代号 (久经沙场),110.5,1810
USP 消音版 | 不锈钢 (久经沙场),15.6,1469
USP 消音版 | 黑色魅影 (久经沙场),92.8,1537
USP 消音版 | 脑洞大开 (久经沙场),12.9,5123
R8 左轮手枪 | 美洲驼炮 (久经沙场),9.96,377
沙漠之鹰 | 午夜风暴 (久经沙场),57.89,137
格洛克 18 型 | 水灵 (略有磨损),25.2,2073
USP 消音版（StatTrak™） | 蓝图 (略有磨损),116,425
沙漠之鹰 | 午夜凶匪 (崭新出厂),75.9,911
格洛克 18 型 | 黑色魅影 (久经沙场),41.9,1405
沙漠之鹰 | 红色代号 (久经沙场),110.5,1810
USP 消音版 | 不锈钢 (久经沙场),15.6,1469
USP 消音版 | 黑色魅影 (久经沙场),92.8,1537
沙漠之鹰 | 机械工业 (崭新出厂),33.8,2717
FN57 | 朝枪夕拾 (崭新出厂),12.08,343
USP 消音版（纪念品） | 引擎故障灯 (破损不堪),55.9,7
沙漠之鹰 | 午夜风暴 (崭新出厂),69.6,880
沙漠之鹰 | 机械工业 (略有磨损),22.14,4375
P250 | 孟加拉猛虎 (崭新出厂),192,126
双持贝瑞塔（StatTrak™） | 灾难 (崭新出厂),25.57,82
Tec-9（StatTrak™） | 战火重燃 (崭新出厂),19.89,102
沙漠之鹰 | 午夜风暴 (略有磨损),56.9,812
格洛克 18 型 | 水灵 (崭新出厂),39.89,1003
沙漠之鹰 | 午夜风暴 (略有磨损),56.9,812
格洛克 18 型 | 水灵 (崭新出厂),39.89,1003
USP 消音版 | 不锈钢 (略有磨损),31.5,1518
格洛克 18 型 | 摩登时代 (久经沙场),21.66,1104
格洛克 18 型 | 荒野反叛 (破损不堪),29.2,32
沙漠之鹰（StatTrak™） | 机械工业 (久经沙场),47.7,753
格洛克 18 型 | 荒野反叛 (久经沙场),22,523
USP 消音版（StatTrak™） | 不锈钢 (略有磨损),142.5,644
沙漠之鹰 | 阴谋者 (略有磨损),19.7,1988
沙漠之鹰（StatTrak™） | 阴谋者 (崭新出厂),104.5,786
Tec-9 | 屠杀者 (久经沙场),22.59,386
USP 消音版 | 小绿怪 (略有磨损),38.9,1453
沙漠之鹰 | 大佬龙 (略有磨损),69.46,981
P250 | 孟加拉猛虎 (略有磨损),63.9,361
沙漠之鹰 | 红色代号 (战痕累累),82.3,184
格洛克 18 型 | 黑色魅影 (略有磨损),90.9,949
FN57 | 蓝莓樱桃 (崭新出厂),159.5,1713
FN57 | 怒氓 (略有磨损),22.6,657
沙漠之鹰 | 噩梦之夜 (崭新出厂),165.98,68
USP 消音版（StatTrak™） | 小绿怪 (久经沙场),41.9,535
沙漠之鹰 | 噩梦之夜 (崭新出厂),165.98,68
USP 消音版（StatTrak™） | 小绿怪 (久经沙场),41.9,535
USP 消音版（StatTrak™） | 脑洞大开 (崭新出厂),167.5,300
CZ75 | 相柳 (略有磨损),29.8,302
USP 消音版 | 脑洞大开 (崭新出厂),49.79,1092
USP 消音版 | 引擎故障灯 (崭新出厂),10.7,940
FN57 | 怒氓 (久经沙场),13.19,1031
USP 消音版 | 脑洞大开 (战痕累累),10.9,586
格洛克 18 型 | 子弹皇后 (略有磨损),114.5,814
FN57 | 童话城堡 (久经沙场),14.59,947
USP 消音版 | 次时代 (崭新出厂),15.3,1897
USP 消音版（StatTrak™） | 铅管 (略有磨损),15.81,221
USP 消音版 | 黑色魅影 (略有磨损),132.35,1892
USP 消音版（StatTrak™） | 闪回 (崭新出厂),17.9,348
CZ75（StatTrak™） | 先驱 (崭新出厂),17.8,121
格洛克 18 型 | 摩登时代 (崭新出厂),47.89,579
格洛克 18 型（StatTrak™） | 一目了然 (略有磨损),11.29,128
P250 | 二西莫夫 (久经沙场),16.4,1797
FN57 | 表面淬火 (久经沙场),30.09,836
USP 消音版 | 不锈钢 (崭新出厂),84.9,556
FN57 | 表面淬火 (久经沙场),30.09,836
USP 消音版 | 不锈钢 (崭新出厂),84.9,556
沙漠之鹰（StatTrak™） | 后发制人 (久经沙场),41.2,179
USP 消音版（StatTrak™） | 闪回 (略有磨损),11.8,358
双持贝瑞塔 | 熊熊烈焰 (略有磨损),55.34,91
格洛克 18 型 | 摩登时代 (略有磨损),30.95,805
USP 消音版（纪念品） | 宝蓝之色 (久经沙场),53.58,644
Tec-9（StatTrak™） | 燃料喷射器 (久经沙场),17.9,245
USP 消音版（StatTrak™） | 蓝图 (久经沙场),51.9,410
沙漠之鹰（StatTrak™） | 纳迦蛇神 (破损不堪),16.67,60
USP 消音版 | 倒吊人 (战痕累累),136.5,118
Tec-9 | 竹林 (崭新出厂),14.9,534
沙漠之鹰 | 阴谋者 (崭新出厂),28.9,3363
USP 消音版 | 枪响人亡 (战痕累累),197,147
沙漠之鹰（StatTrak™） | 阴谋者 (略有磨损),73.1,500
沙漠之鹰（StatTrak™） | 机械工业 (略有磨损),65.7,743
沙漠之鹰（StatTrak™） | 后发制人 (战痕累累),26.5,65
格洛克 18 型（StatTrak™） | 荒野反叛 (略有磨损),99.5,102
USP 消音版（StatTrak™） | 守护者 (崭新出厂),49.9,861
格洛克 18 型 | 水灵 (战痕累累),16.9,99
Tec-9 | 锈叶 (崭新出厂),37.3,113
P250 | 红巢 (崭新出厂),13.3,91
CZ75 | 维多利亚 (久经沙场),20.7,130
Tec-9 | 锈叶 (略有磨损),35.5,119
格洛克 18 型 | 子弹皇后 (久经沙场),64.9,1130
P250 | 生化短吻鳄 (略有磨损),23.8,1184
沙漠之鹰（StatTrak™） | 科林斯遗产 (略有磨损),12.1,319
格洛克 18 型（StatTrak™） | 摩登时代 (略有磨损),87.8,188
格洛克 18 型 | 核子花园 (崭新出厂),43.7,566
P2000 | 至尊威龙 (略有磨损),11.4,286
