饰品名称,Buff当前价格,Buff当前在售数量
AUG | 璞玉 (崭新出厂),69.4,1023
AWP | 精英之作 (略有磨损),52.68,584
M4A4 | 赛博 (久经沙场),18.9,1905
法玛斯 | 防滚架 (战痕累累),11.8,197
AK-47 | 红线 (久经沙场),76.9,17603
M4A1 消音型（StatTrak™） | 女火神之炽焰 (久经沙场),150.5,121
AK-47 | 卡特尔 (久经沙场),25.9,1792
AK-47 | 墨岩 (久经沙场),32.9,1640
AK-47 | 红色层压板 (略有磨损),152.7,420
AWP | 黑色魅影 (久经沙场),128.5,2270
AK-47 | 阿努比斯军团 (崭新出厂),162,1216
AWP | 无畏战神 (久经沙场),102.9,166
AK-47 | 墨岩 (破损不堪),33,525
M4A4（StatTrak™） | 齿仙 (久经沙场),49.7,369
M4A4 | 喧嚣杀戮 (久经沙场),44,3348
AK-47 | 墨岩 (略有磨损),47.9,1258
AWP | 黑色魅影 (崭新出厂),199,3029
M4A1 消音型 | 印花集 (战痕累累),124,370
AK-47（StatTrak™） | 墨岩 (略有磨损),184.5,195
AK-47 | 前线迷雾 (略有磨损),113.49,1485
AK-47（StatTrak™） | 墨岩 (略有磨损),184.5,195
AK-47 | 前线迷雾 (略有磨损),113.49,1485
AK-47 | 精英之作 (略有磨损),10.4,7362
SSG 08 | 侦测 (崭新出厂),26.67,410
M4A4（StatTrak™） | 杀意大名 (略有磨损),45.7,570
M4A4 | 赛博 (战痕累累),12.8,312
M4A1 消音型（StatTrak™） | 二号玩家 (久经沙场),143.5,179
M4A4（StatTrak™） | 喧嚣杀戮 (久经沙场),137.5,408
M4A1 消音型（StatTrak™） | 次时代 (略有磨损),158,114
AK-47（StatTrak™） | 卡特尔 (久经沙场),94.6,466
M4A1 消音型 | 氮化处理 (崭新出厂),15.2,848
M4A1 消音型 | 破碎铅秋 (久经沙场),11.3,1684
M4A4 | 赛博 (略有磨损),38.7,1667
AWP | 无畏战神 (略有磨损),107.4,2488
AK-47（纪念品） | 黑色层压板 (略有磨损),173,161
M4A4 | 黑色魅影 (略有磨损),99.5,4235
M4A4 | 弹雨 (略有磨损),74.38,414
AWP | 野火 (战痕累累),133,148
法玛斯（StatTrak™） | 机械工业 (略有磨损),39.39,252
SSG 08 | 炎龙之焰 (久经沙场),43.73,767
SSG 08 | 炎龙之焰 (久经沙场),43.73,767
M4A4 | 狮鹫 (久经沙场),13.89,562
加利尔 AR | 「经济」克鲁尔 (久经沙场),13.89,2548
