饰品名称,Buff当前价格,Buff当前在售数量
MAG-7 | 正义 (略有磨损),17,676
新星（StatTrak™） | 石墨黑 (崭新出厂),67.79,83
MAG-7（纪念品） | 银质 (崭新出厂),36.9,791
截短霰弹枪 | 荒野公主 (略有磨损),13.69,205
新星 | 兴风作浪 (略有磨损),21.4,60
MAG-7 | 坚固链甲 (略有磨损),55.5,90
新星 | 樱花之绚烂 (久经沙场),18.47,96
MAG-7 | 银质 (崭新出厂),61.7,354
新星 | 古董枪 (崭新出厂),39.9,156
XM1014 | 宁静 (久经沙场),17.4,75
XM1014 | 蔚蓝多变迷彩 (略有磨损),29.8,8
XM1014（StatTrak™） | 焚烬之鳄 (久经沙场),18.39,247
XM1014 | 埋葬之影 (略有磨损),27.9,616
XM1014 | 要抱抱 (战痕累累),13.2,127
XM1014 | 要抱抱 (略有磨损),33.8,217
MAG-7 | 威吓者 (略有磨损),42.9,231
新星（StatTrak™） | 一见青心 (崭新出厂),25.4,83
截短霰弹枪（纪念品） | 外表生锈 (崭新出厂),29.2,42
XM1014 | 埋葬之影 (崭新出厂),46.9,504
新星（StatTrak™） | 狂野六号 (崭新出厂),13.89,104
XM1014 | XOXO (久经沙场),19.1,287
截短霰弹枪 | 吞噬 (久经沙场),15.43,260
XM1014（StatTrak™） | 埋葬之影 (略有磨损),85.7,102
XM1014 | 埋葬之影 (久经沙场),22.24,465
MAG-7 | 北冥有鱼 (崭新出厂),11.49,487
MAG-7 | 坚固链甲 (崭新出厂),57.68,210
截短霰弹枪（StatTrak™） | 祥和之翼 (久经沙场),10.89,23
新星（StatTrak™） | 毒蜥 (崭新出厂),12.1,78
XM1014（StatTrak™） | 埋葬之影 (久经沙场),49.9,124
MAG-7 | 核芯破裂 (崭新出厂),17.56,88
截短霰弹枪（StatTrak™） | 吞噬 (崭新出厂),173.5,28
XM1014 | 天空守卫 (崭新出厂),24.8,53
XM1014 | 要抱抱 (破损不堪),15.9,57
MAG-7（纪念品） | 威吓者 (战痕累累),24.8,37
截短霰弹枪 | 北海巨妖 (略有磨损),27.1,104
截短霰弹枪 | 北海巨妖 (久经沙场),22.89,80
XM1014 | 芭蕉叶 (久经沙场),36,112
截短霰弹枪（StatTrak™） | 聚光灯 (略有磨损),10,68
截短霰弹枪 | 北海巨妖 (崭新出厂),38.2,129
XM1014 | 芭蕉叶 (略有磨损),36.3,110
XM1014 | 红色皮革 (崭新出厂),135.38,27
截短霰弹枪 | 荒野公主 (崭新出厂),25.78,148
XM1014（StatTrak™） | 四季 (略有磨损),10.37,188
截短霰弹枪 | 外表生锈 (略有磨损),49.8,41
XM1014 | 芭蕉叶 (崭新出厂),39.7,104
XM1014（StatTrak™） | 西装革履 (略有磨损),12.9,164
MAG-7 | 正义 (崭新出厂),42.6,313
MAG-7（纪念品） | 威吓者 (久经沙场),24,199
MAG-7（StatTrak™） | 正义 (略有磨损),50.3,141
新星（StatTrak™） | 暴怒野兽 (久经沙场),91.74,27
XM1014（StatTrak™） | 特克卢喷射者 (略有磨损),18.96,68
XM1014（StatTrak™） | 斯康里娅 (崭新出厂),10.42,51
截短霰弹枪（StatTrak™） | 荒野公主 (久经沙场),17.8,77
MAG-7（StatTrak™） | 北冥有鱼 (略有磨损),12.3,239
MAG-7（StatTrak™） | 正义 (战痕累累),15.7,82
MAG-7（StatTrak™） | 北冥有鱼 (崭新出厂),39.7,124
