饰品名称,Buff当前价格,Buff当前在售数量
MAC-10 | 渐变迪斯科 (久经沙场),14.95,2005
P90 | 盲点 (崭新出厂),41.51,148
MP9 | 铁血玫瑰 (崭新出厂),37.9,526
MAC-10 | 核子花园 (崭新出厂),31.58,200
MAC-10 | 霓虹骑士 (略有磨损),31.2,890
MP9 | 爆裂食物链 (久经沙场),25.7,376
MAC-10 | 潜行者 (久经沙场),53.36,413
MAC-10 | 渐变之色 (崭新出厂),66.05,954
PP-野牛 | 古董枪 (崭新出厂),22.16,87
PP-野牛（StatTrak™） | 阿努比斯之审判 (崭新出厂),198,87
MP5-SD | 磷光体 (略有磨损),21.9,592
P90 | 二西莫夫 (久经沙场),36.6,1302
MP9 | 铁血玫瑰 (略有磨损),29.79,354
MAC-10 | 霓虹骑士 (久经沙场),26.7,603
UMP-45 | 动量 (久经沙场),15.56,371
MP5-SD | 磷光体 (久经沙场),14.97,705
MAC-10（StatTrak™） | 魅惑 (崭新出厂),28.5,133
UMP-45 | 动量 (略有磨损),21.9,527
UMP-45（StatTrak™） | 动摇 (崭新出厂),12.9,116
MP9 | 九头蛇 (略有磨损),25.68,257
MAC-10（StatTrak™） | 战争手柄 (崭新出厂),26.96,68
P90 | 精雕木刻 (略有磨损),15.9,198
PP-野牛 | 买定离手 (略有磨损),17.68,344
UMP-45 | 动量 (崭新出厂),31.6,469
PP-野牛（StatTrak™） | 钻蓝半调 (崭新出厂),20.67,26
MAC-10 | 核子花园 (略有磨损),20.8,127
MAC-10 | 渐变迪斯科 (略有磨损),29.2,1286
MP7 | 绿野迷踪 (崭新出厂),10.2,195
UMP-45 | 犬牙 (崭新出厂),13.5,546
MP7 | 金库悍匪 (崭新出厂),13.5,612
P90 | 困兽之斗 (崭新出厂),68.6,1042
PP-野牛 | 核燃料棒 (崭新出厂),11.9,208
P90 | 浅坟 (略有磨损),12.9,237
UMP-45 | 野蛮剑齿虎 (略有磨损),12,514
MP7 | 血腥运动 (略有磨损),14.5,1535
MP7 | 血腥运动 (崭新出厂),21.6,838
MAC-10（StatTrak™） | 炽热 (崭新出厂),50.7,81
MAC-10 | 渐变迪斯科 (崭新出厂),73.69,444
MAC-10 | 潜行者 (战痕累累),31.6,101
PP-野牛 | 墨竹 (崭新出厂),13.9,154
PP-野牛 | 墨竹 (崭新出厂),13.9,154
P90 | 巴洛克之红 (崭新出厂),122,148
P90 | 日落百合 (崭新出厂),34.9,234
MP7 | 复仇者 (久经沙场),17.7,45
P90（StatTrak™） | 往日行动 (崭新出厂),117.5,60
UMP-45 | 野蛮剑齿虎 (崭新出厂),30.7,219
PP-野牛 | 阿努比斯之审判 (久经沙场),21.69,535
PP-野牛（StatTrak™） | 死亡主宰者 (崭新出厂),13.9,178
PP-野牛（StatTrak™） | 水纹之印 (略有磨损),16.89,21
MP9 | 气密 (略有磨损),13.9,647
P90（纪念品） | 冰川网格 (略有磨损),36.79,59
MP9 | 落日 (崭新出厂),27,104
UMP-45（StatTrak™） | 支架 (略有磨损),9.9,91
P90（纪念品） | 辐射警告 (久经沙场),12.72,175
MAC-10（StatTrak™） | 魅惑 (略有磨损),13.79,156
MP9（StatTrak™） | 气密 (略有磨损),36.8,197
MP9（StatTrak™） | 爆裂食物链 (久经沙场),63.86,79
MAC-10（StatTrak™） | 渐变迪斯科 (久经沙场),39.8,270
P90（StatTrak™） | 浅坟 (久经沙场),18.7,149
MP9（StatTrak™） | 焦油缠绕 (崭新出厂),13.8,184
MAC-10（StatTrak™） | 渐变迪斯科 (久经沙场),39.8,270
P90（StatTrak™） | 浅坟 (久经沙场),18.7,149
MP9（StatTrak™） | 焦油缠绕 (崭新出厂),13.8,184
PP-野牛（纪念品） | 红苹果 (崭新出厂),10.98,399
PP-野牛 | 阿努比斯之审判 (崭新出厂),46.6,315
MP9 | 爆裂食物链 (崭新出厂),84.3,152
UMP-45（StatTrak™） | 金铋辉煌 (崭新出厂),25.35,102
MP9 | 九头蛇 (崭新出厂),52,188
MAC-10 | 霓虹骑士 (崭新出厂),44.9,705
MP9 | 铁血玫瑰 (久经沙场),26.05,61
P90（StatTrak™） | 精雕木刻 (久经沙场),23.4,101
MP9 | 九头蛇 (久经沙场),16.9,312
P90 | 二西莫夫 (略有磨损),83.6,1081
MP9 | 蛊惑之色 (崭新出厂),44.9,245
P90 | 往日行动 (略有磨损),25.9,195
MP7（StatTrak™） | 血腥运动 (略有磨损),39.5,195
MAC-10（StatTrak™） | 渐变迪斯科 (略有磨损),75.4,214
UMP-45（纪念品） | 炽烈之炎 (崭新出厂),139,559
MP7（StatTrak™） | 速递 (久经沙场),12.67,29
PP-野牛 | 阿努比斯之审判 (略有磨损),30.8,435
MP7（StatTrak™） | 卷云 (崭新出厂),10.4,170
PP-野牛（StatTrak™） | 买定离手 (久经沙场),23.4,103
MAC-10 | 渐变迪斯科 (破损不堪),10.89,473
P90 | 日落百合 (略有磨损),35.81,119
P90 | 三角 (久经沙场),28.6,126
P90 | 三角 (战痕累累),37.9,64
MP9 | 爆裂食物链 (破损不堪),15.3,75
MP9 | 爆裂食物链 (战痕累累),13.29,106
P90 | 盲点 (久经沙场),30.78,52
P90 | 冰川网格 (略有磨损),36.2,58
MP7 | 银装素裹 (久经沙场),17.48,85
P90（StatTrak™） | 盲点 (久经沙场),49.48,82
MP9（StatTrak™） | 致命毒药 (崭新出厂),25.79,80
MP5-SD（纪念品） | 协处理器 (崭新出厂),67.9,25
MAC-10（StatTrak™） | 霓虹骑士 (崭新出厂),169,150
MP9（纪念品） | 赤红新星 (崭新出厂),193,501
MAC-10 | 炽热 (略有磨损),17.71,53
MP7 | 渐变之色 (崭新出厂),62.8,612
MP7 | 帝国 (崭新出厂),11.4,165
MAC-10（纪念品） | 紫青之色 (略有磨损),17.89,370
MP7 | 死亡骷髅 (久经沙场),56.7,59
P90 | 日落百合 (久经沙场),35.78,99
MP9（StatTrak™） | 红宝石毒镖 (崭新出厂),28.69,143
P90（StatTrak™） | 三角 (略有磨损),82.4,53
P90 | 三角 (略有磨损),33.9,150
UMP-45 | 白骨之堆 (久经沙场),21.5,12
MP9（纪念品） | 落日 (战痕累累),19.49,82
UMP-45 | 炽烈之炎 (崭新出厂),71.2,573
MAC-10 | 潜行者 (破损不堪),41.4,93
P90 | 往日行动 (久经沙场),17.1,187
MP7（StatTrak™） | 帝国 (崭新出厂),34.8,76
MAC-10（纪念品） | 红苹果 (略有磨损),22.55,239
P90（StatTrak™） | 往日行动 (久经沙场),40.81,63
MP7 | 渐变之色 (略有磨损),42.78,231
P90 | 二西莫夫 (战痕累累),23.8,158
UMP-45 | 犯罪现场 (久经沙场),132.5,122
P90 | 往日行动 (崭新出厂),42.67,165
UMP-45（StatTrak™） | 支架 (崭新出厂),21.9,63
PP-野牛（纪念品） | 黄铜 (久经沙场),18.79,60
MP5-SD | 磷光体 (战痕累累),13.9,95
MAC-10（StatTrak™） | 致命紫罗兰 (略有磨损),15.47,91
UMP-45（StatTrak™） | 白狼 (崭新出厂),14.42,191
MAC-10 | 不可磨灭 (久经沙场),101.5,31
MAC-10（纪念品） | 核子花园 (战痕累累),17.78,52
P90 | 棕色皮革 (久经沙场),20.5,17
MP9（StatTrak™） | 气密 (崭新出厂),99.39,119
MP9（StatTrak™） | 气密 (战痕累累),15.9,36
MP5-SD（StatTrak™） | 磷光体 (久经沙场),29.49,128
MP9（StatTrak™） | 铁血玫瑰 (崭新出厂),91.2,230
P90 | 困兽之斗 (略有磨损),64.8,216
P90 | 精雕木刻 (崭新出厂),47.17,78
MP9（StatTrak™） | 气密 (久经沙场),16.4,174
MAC-10（StatTrak™） | 炽热 (略有磨损),31.75,55
MP9（StatTrak™） | 爆裂食物链 (略有磨损),136.49,54
MAC-10（StatTrak™） | 烧尽 (破损不堪),37.7,3
UMP-45（StatTrak™） | 动量 (略有磨损),52.7,95
MAC-10（纪念品） | 红苹果 (久经沙场),22.88,83
MP7（StatTrak™） | 血腥运动 (崭新出厂),77.8,137
PP-野牛 | 买定离手 (崭新出厂),38.5,157
MP9（纪念品） | 落日 (略有磨损),60.1,168
MP9（纪念品） | 落日 (略有磨损),60.1,168
P90（StatTrak™） | 浅坟 (略有磨损),41.06,73
MP5-SD（StatTrak™） | 高斯 (崭新出厂),14.05,83
P90 | 二西莫夫 (破损不堪),29.66,131
MAC-10（纪念品） | 核子花园 (略有磨损),57.89,195
MAC-10 | 炽热 (崭新出厂),19.79,101
P90 | 棕色皮革 (略有磨损),21.7,31
MP9（StatTrak™） | 爆裂食物链 (破损不堪),35.8,35
PP-野牛 | 阿努比斯之审判 (破损不堪),19.9,23
MAC-10 | 潜行者 (略有磨损),92.4,246
P90 | 二西莫夫 (崭新出厂),184,346
UMP-45 | 犯罪现场 (崭新出厂),172.1,185
MAC-10（纪念品） | 核子花园 (久经沙场),28.69,315
MP9（StatTrak™） | 蛊惑之色 (崭新出厂),73.1,110
MAC-10（StatTrak™） | 绝界之行 (略有磨损),10.7,121
P90 | 辐射警告 (战痕累累),28.31,3
MAC-10（StatTrak™） | 炽热 (破损不堪),11.67,29
UMP-45（StatTrak™） | 动量 (久经沙场),30.99,116
UMP-45（StatTrak™） | 动量 (破损不堪),32.25,29
MP7 | 银装素裹 (略有磨损),148.3,71
P90（StatTrak™） | 盲点 (略有磨损),49.8,57
MP7（StatTrak™） | 血腥运动 (久经沙场),21.79,245
MAC-10（StatTrak™） | 战争手柄 (略有磨损),11.84,55
MP9（StatTrak™） | 九头蛇 (久经沙场),37.5,88
P90（StatTrak™） | 浅坟 (战痕累累),14.66,40
MP7 | 硝烟 (崭新出厂),18.89,17
MP7 | 枯焦之色 (崭新出厂),13.5,64
UMP-45（StatTrak™） | 城里的月光 (崭新出厂),13,397
P90 | 浅坟 (崭新出厂),28.58,169
MAC-10 | 霓虹骑士 (破损不堪),26.58,28
PP-野牛 | 外表生锈 (战痕累累),53.9,18
P90 | 往日行动 (破损不堪),16.5,34
MP7 | 星点 (崭新出厂),10.31,151
MP9 | 落日 (略有磨损),16.65,130
MAC-10（StatTrak™） | 销声 (崭新出厂),20.1,83
PP-野牛（StatTrak™） | 古董枪 (略有磨损),49.8,26
PP-野牛 | 黄铜 (崭新出厂),11.78,128
MAC-10 | 渐变琥珀 (略有磨损),36.3,37
UMP-45（StatTrak™） | x射线 (崭新出厂),13.12,128
P90（StatTrak™） | 二西莫夫 (战痕累累),62.48,43
