饰品名称,饰品价格,当前在售数量,Buff当前价格,Buff当前在售数量,steam当前可获得收益,倒卖比,buff库存,steam库存,buff价格,steam价格,倒卖赚
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (破损不堪),4.27,67.0,19.79,89.0,23.202304649999995,0.8529325124605673,67.0,89.0,19.79,27.296828999999995,0.6826217499999956
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (破损不堪),4.27,67.0,19.79,89.0,23.202304649999995,0.8529325124605673,67.0,89.0,19.79,27.296828999999995,0.6826217499999956
法玛斯 | 灯神 (略有磨损),2.85,199.0,13.19,188.0,15.48631575,0.8517196867821838,199.0,188.0,13.19,18.219195,0.47439624999999985
法玛斯 | 灯神 (略有磨损),2.83,200.0,13.19,188.0,15.37763985,0.8577389071834713,200.0,188.0,13.19,18.091341,0.3785057500000004
法玛斯 | 灯神 (崭新出厂),7.47,34.0,36.79,97.0,40.59044864999999,0.9063708636785419,34.0,97.0,36.79,47.753468999999996,-0.9748982500000025
法玛斯 | 灯神 (崭新出厂),7.47,34.0,36.79,97.0,40.59044864999999,0.9063708636785419,34.0,97.0,36.79,47.753468999999996,-0.9748982500000025
法玛斯 | 灯神 (崭新出厂),7.47,34.0,36.79,97.0,40.59044864999999,0.9063708636785419,34.0,97.0,36.79,47.753468999999996,-0.9748982500000025
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (久经沙场),7.18,136.0,29.5,583.0,39.014648099999995,0.7561262612029046,136.0,583.0,29.5,45.89958599999999,4.924689499999992
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (久经沙场),7.1,137.0,29.5,583.0,38.579944499999996,0.7646459937235006,137.0,583.0,29.5,45.388169999999995,4.541127499999995
MAC-10 | 霓虹骑士 (破损不堪),5.94,60.0,26.58,28.0,32.2767423,0.8235031823518322,60.0,28.0,26.58,37.972638,1.8994785000000043
MAC-10 | 霓虹骑士 (破损不堪),5.93,60.0,26.58,28.0,32.22240435,0.8248918892360682,60.0,28.0,26.58,37.908711,1.8515332499999992
P250 | 卡特尔 (略有磨损),4.72,64.0,21.27,118.0,25.647512399999997,0.8293201955913667,64.0,118.0,21.27,30.173543999999996,1.3601579999999984
